0	O5	NDR	1	23.755	8.971	38.932	O5
1	O6	NDR	1	6.136	0.324	36.942	O6
2	O7	NDR	1	5.239	2.251	37.763	O7
3	O8	NDR	1	24.653	6.998	38.228	O8
4	C9	NDR	1	6.173	1.494	37.401	C9
5	C10	NDR	1	23.719	7.779	38.535	C10
6	C12	NDR	1	15.463	5.645	35.72	C12
7	C13	NDR	1	14.109	5.26	35.676	C13
8	C14	NDR	1	13.508	4.669	36.776	C14
9	C15	NDR	1	14.259	4.45	37.955	C15
10	C16	NDR	1	13.668	3.846	39.09	C16
11	C17	NDR	1	14.422	3.64	40.234	C17
12	C18	NDR	1	15.775	4.027	40.278	C18
13	C19	NDR	1	16.376	4.619	39.179	C19
14	C20	NDR	1	15.626	4.838	37.999	C20
15	C21	NDR	1	16.217	5.44	36.864	C21
16	C22	NDR	1	17.647	5.862	36.895	C22
17	O23	NDR	1	18.182	6.389	35.934	O23
18	N24	NDR	1	18.353	5.614	38.088	N24
19	C25	NDR	1	17.808	5.031	39.246	C25
20	O26	NDR	1	18.475	4.864	40.254	O26
21	C27	NDR	1	19.702	6.125	38.18	C27
22	C28	NDR	1	19.886	7.442	38.612	C28
23	C29	NDR	1	21.175	7.958	38.719	C29
24	C30	NDR	1	7.602	2.098	37.54	C30
25	C31	NDR	1	22.091	5.859	37.97	C31
26	C32	NDR	1	20.805	5.336	37.86	C32
27	C33	NDR	1	12.24	3.419	39.056	C33
28	O34	NDR	1	11.708	2.882	40.015	O34
29	N35	NDR	1	11.532	3.672	37.867	N35
30	C36	NDR	1	12.076	4.26	36.71	C36
31	O37	NDR	1	11.406	4.432	35.704	O37
32	C38	NDR	1	10.185	3.157	37.771	C38
33	C39	NDR	1	9.082	3.92	38.15	C39
34	C40	NDR	1	7.797	3.394	38.035	C40
35	C41	NDR	1	8.714	1.343	37.165	C41
36	C42	NDR	1	10.002	1.861	37.277	C42
37	H43	NDR	1	20.634	4.315	37.528	H43
38	H44	NDR	1	9.252	4.925	38.531	H44
39	C45	NDR	1	22.288	7.177	38.402	C45
40	H46	NDR	1	22.976	5.278	37.732	H46
41	H47	NDR	1	6.913	3.956	38.318	H47
42	H48	NDR	1	8.525	0.34	36.785	H48
43	O49	NDR	1	11.129	1.154	36.92	O49
44	H50	NDR	1	10.831	0.296	36.594	H50
45	H51	NDR	1	13.943	3.173	41.087	H51
46	H52	NDR	1	16.375	3.873	41.169	H52
47	H53	NDR	1	15.943	6.109	34.865	H53
48	H54	NDR	1	13.509	5.414	34.786	H54
49	O55	NDR	1	18.759	8.172	38.917	O55
50	H56	NDR	1	19.057	9.048	39.193	H56
51	H57	NDR	1	21.365	8.977	39.051	H57
