O6	TCP	56	O	2.633	0.9800000000000004	0.9909999999999997
C47	TCP	56	C	1.4969999999999999	1.3560000000000016	1.3820000000000014
O7	TCP	56	O	0.3580000000000001	0.968	1.0139999999999993
C1	UNK	1	C	1.5013178149121897	2.455603530971121	2.4744071727841384
H1	UNK	1	H	1.2280319844144703	3.0892667531862634	1.6305814943048127
H2	UNK	1	H	0.9726611042857997	2.7907485771400715	3.366292187984022
H3	UNK	1	H	1.2273443910872106	1.4232406013291374	2.256151944808633
O6	TCP	56	O	2.633	0.9800000000000004	0.9909999999999997
C47	TCP	56	C	1.4969999999999999	1.3560000000000016	1.3820000000000014
O7	TCP	56	O	0.3580000000000001	0.968	1.0139999999999993
C1	UNK	1	C	1.5013178149121897	2.455603530971121	2.4744071727841384
H1	UNK	1	H	1.2280319844144703	3.0892667531862634	1.6305814943048127
H2	UNK	1	H	0.9726611042857997	2.7907485771400715	3.366292187984022
H3	UNK	1	H	1.2273443910872106	1.4232406013291374	2.256151944808633
