    DD6    AL6   21   3.317  -0.591  15.403      H
    DD7    AL6   21   2.711   0.565  15.361      H
    DD2    AL6   22  -0.809  15.603  16.006      H
    DD3    AL6   22  -0.293  16.578  16.619      H
    DD4    AL6   22   0.255  15.386  16.602      H
    DD5    AL6   22   0.803  16.398  15.988      H
    DD6    AL6   22   0.317  15.409  15.403      H
    DD7    AL6   22  -0.289  16.565  15.361      H
    DD2    AL6   23   2.191  -0.397   0.006      H
    DD3    AL6   23   2.707   0.578   0.619      H
    DD4    AL6   23   3.255  -0.614   0.602      H
    DD5    AL6   23   3.803   0.398  -0.012      H
    DD6    AL6   23   3.317  -0.591  -0.597      H
    DD7    AL6   23   2.711   0.565  -0.639      H
    DD2    AL6   24  -0.809  15.603  32.006      H
    DD3    AL6   24  -0.293  16.578  32.619      H
    DD4    AL6   24   0.255  15.386  32.602      H
    DD5    AL6   24   0.803  16.398  31.988      H
    DD6    AL6   24   0.317  15.409  31.403      H
    DD7    AL6   24  -0.289  16.565  31.361      H
    DD2    AL6   25   2.191  31.603   0.006      H
    DD3    AL6   25   2.707  32.578   0.619      H
    DD4    AL6   25   3.255  31.386   0.602      H
    DD5    AL6   25   3.803  32.398  -0.012      H
    DD6    AL6   25   3.317  31.409  -0.597      H
    DD7    AL6   25   2.711  32.565  -0.639      H
    DD2    AL6   26   2.191  31.603  32.006      H
    DD3    AL6   26   2.707  32.578  32.619      H
    DD4    AL6   26   3.255  31.386  32.602      H
    DD5    AL6   26   3.803  32.398  31.988      H
    DD6    AL6   26   3.317  31.409  31.403      H
    DD7    AL6   26   2.711  32.565  31.361      H
    DD2    AL6   27   2.191  31.603  16.006      H
    DD3    AL6   27   2.707  32.578  16.619      H
    DD4    AL6   27   3.255  31.386  16.602      H
    DD5    AL6   27   3.803  32.398  15.988      H
    DD6    AL6   27   3.317  31.409  15.403      H
    DD7    AL6   27   2.711  32.565  15.361      H
     H1    MOH   28   7.654  -1.846  31.997      H
     H1    MOH   29   4.654  14.154  31.997      H
     H1    MOH   30   7.654  -1.846  -0.003      H
     H1    MOH   31   4.654  14.154  -0.003      H
     H1    MOH   32   1.654  -1.846  31.997      H
     H1    MOH   33   1.654  -1.846  15.997      H
     H1    MOH   34   1.654  -1.846  -0.003      H
     H1    MOH   35   7.654  -1.846  15.997      H
     H1    MOH   36   4.654  14.154  15.997      H
     H1    MOH   37   1.654  30.154  15.997      H
     H1    MOH   38   1.654  30.154  -0.003      H
     H1    MOH   39   1.654  30.154  31.997      H
     H1    MOH   40   7.654  30.154  15.997      H
     H1    MOH   41   7.654  30.154  -0.003      H
     H1    MOH   42   7.654  30.154  31.997      H
     H1    MOH   43   1.654  17.846   0.003      H
     H1    MOH   44   7.654  17.846  32.003      H
     H1    MOH   45   7.654  17.846  16.003      H
     H1    MOH   46   7.654  17.846   0.003      H
     H1    MOH   47   4.654   1.846  32.003      H
     H1    MOH   48   4.654   1.846  16.003      H
     H1    MOH   49   1.654  17.846  16.003      H
     H1    MOH   50   4.654   1.846   0.003      H
     H1    MOH   51   1.654  17.846  32.003      H
     H1    MOH   52   4.654  33.846   0.003      H
     H1    MOH   53   4.654  33.846  32.003      H
     H1    MOH   54   4.654  33.846  16.003      H
    C48    TCP   55   4.529  21.135   6.895      C
     C1    TCP   55   4.534  21.137   9.109      C
     C2    TCP   55   4.466  19.758   7.323      C
     C3    TCP   55   4.470  19.760   8.685      C
     N1    TCP   55   4.494  23.998   5.962      N
     C4    TCP   55   4.504  22.891   5.136      C
     C5    TCP   55   4.481  25.105   5.133      C
     C6    TCP   55   4.476  24.678   3.755      C
     C7    TCP   55   4.503  23.316   3.757      C
     N2    TCP   55   4.437  26.036   7.998      N
     C8    TCP   55   4.465  26.863   6.891      C
     C9    TCP   55   4.470  26.866   9.105      C
    C10    TCP   55   4.529  28.239   7.316      C
    C11    TCP   55   4.533  28.242   8.678      C
     N3    TCP   55   4.505  24.002  10.038      N
    C12    TCP   55   4.518  22.895  10.867      C
    C13    TCP   55   4.495  25.109  10.864      C
    C14    TCP   55   4.496  24.684  12.243      C
    C15    TCP   55   4.523  23.323  12.244      C
    C16    TCP   55   4.518  21.544   5.546      C
    C17    TCP   55   4.529  21.547  10.456      C
    C18    TCP   55   4.481  26.456  10.453      C
    C19    TCP   55   4.470  26.452   5.543      C
    C20    TCP   55   4.527  18.468  13.529      C
    C21    TCP   55   5.725  18.986  13.024      C
    C22    TCP   55   5.730  19.971  12.035      C
    C23    TCP   55   4.527  20.484  11.518      C
    C24    TCP   55   3.324  19.965  12.028      C
    C25    TCP   55   3.329  18.974  13.013      C
    C26    TCP   55   4.501  18.458   2.479      C
    C27    TCP   55   3.306  18.974   2.992      C
    C28    TCP   55   3.305  19.967   3.974      C
    C29    TCP   55   4.511  20.478   4.487      C
    C30    TCP   55   5.712  19.956   3.974      C
    C31    TCP   55   5.702  18.969   2.989      C
    C32    TCP   55   4.470  29.533   2.471      C
    C33    TCP   55   3.274  29.042   3.004      C
    C34    TCP   55   3.269  28.055   3.991      C
    C35    TCP   55   4.471  27.515   4.482      C
    C36    TCP   55   5.673  28.009   3.945      C
    C37    TCP   55   5.668  29.000   2.961      C
    C38    TCP   55   4.498  29.541  13.522      C
    C39    TCP   55   3.298  29.040  13.004      C
    C40    TCP   55   3.288  28.053  12.016      C
    C41    TCP   55   4.489  27.521  11.513      C
    C42    TCP   55   5.694  28.024  12.035      C
    C43    TCP   55   5.693  29.016  13.017      C
      O    TCP   55   3.391  16.972  14.996      O
    C44    TCP   55   4.529  17.367  14.630      C
     O1    TCP   55   5.665  17.000  15.023      O
     O2    TCP   55   5.606  31.003   0.980      O
    C45    TCP   55   4.469  30.634   1.373      C
     O3    TCP   55   3.332  31.026   1.004      O
     O4    TCP   55   5.642  31.021  14.996      O
    C46    TCP   55   4.502  30.643  14.619      C
     O5    TCP   55   3.367  31.028  15.000      O
     O6    TCP   55   5.633  16.980   0.991      O
    C47    TCP   55   4.497  17.356   1.382      C
     O7    TCP   55   3.358  16.968   1.014      O
     CO    TCP   55   4.500  24.000   8.000     CO
    H24    TCP   55   4.412  18.908   6.657      H
     H1    TCP   55   4.419  18.910   9.351      H
     H2    TCP   55   4.457  25.342   2.906      H
     H3    TCP   55   4.517  22.650   2.907      H
     H4    TCP   55   4.580  29.089   6.649      H
     H5    TCP   55   4.587  29.091   9.342      H
     H6    TCP   55   4.482  25.350  13.093      H
     H7    TCP   55   4.542  22.657  13.095      H
     H8    TCP   55   6.650  18.586  13.434      H
     H9    TCP   55   6.673  20.363  11.656      H
    H10    TCP   55   2.381  20.343  11.638      H
    H11    TCP   55   2.406  18.563  13.410      H
    H12    TCP   55   2.380  18.569   2.593      H
    H13    TCP   55   2.364  20.352   4.362      H
    H14    TCP   55   6.656  20.342   4.355      H
    H15    TCP   55   6.624  18.563   2.581      H
    H16    TCP   55   2.348  29.459   2.615      H
    H17    TCP   55   2.326  27.684   4.391      H
    H18    TCP   55   6.617  27.611   4.315      H
    H19    TCP   55   6.591  29.391   2.543      H
    H20    TCP   55   2.375  29.452  13.404      H
    H21    TCP   55   2.344  27.675  11.630      H
    H22    TCP   55   6.635  27.632  11.653      H
    H23    TCP   55   6.619  29.415  13.421      H
    C48    TCP   56   4.529  21.135  22.895      C
     C1    TCP   56   4.534  21.137  25.109      C
     C2    TCP   56   4.466  19.758  23.323      C
     C3    TCP   56   4.470  19.760  24.685      C
     N1    TCP   56   4.494  23.998  21.962      N
     C4    TCP   56   4.504  22.891  21.136      C
     C5    TCP   56   4.481  25.105  21.133      C
     C6    TCP   56   4.476  24.678  19.755      C
     C7    TCP   56   4.503  23.316  19.757      C
     N2    TCP   56   4.437  26.036  23.998      N
     C8    TCP   56   4.465  26.863  22.891      C
     C9    TCP   56   4.470  26.866  25.105      C
    C10    TCP   56   4.529  28.239  23.316      C
    C11    TCP   56   4.533  28.242  24.678      C
     N3    TCP   56   4.505  24.002  26.038      N
    C12    TCP   56   4.518  22.895  26.867      C
    C13    TCP   56   4.495  25.109  26.864      C
