Al	AL6	1	Al	0.0	0.0	0.0
DD2	AL6	1	H	-0.8089549783795333	-0.3971130509628146	0.005662835859833743
DD3	AL6	1	H	-0.29299605501163456	0.5777437962898879	0.6187684684889567
DD4	AL6	1	H	0.2551921505614076	-0.6141752403887535	0.6021642138032286
DD5	AL6	1	H	0.8029637366244013	0.3981143263096424	-0.011671368951315285
DD6	AL6	1	H	0.31696522042892417	-0.5907481983977201	-0.5967374758872553
DD7	AL6	1	H	-0.2891305719249504	0.5651835191699712	-0.6392316497460042
O1	MOH	1	O	1.6538803908654622	0.8582261300273565	0.002749990722134601
H1	MOH	1	H	1.6537447671766023	1.8462260605076417	0.0030949213953068524
Al	AL6	2	Al	0.0	0.0	15.94
DD2	AL6	2	H	-0.8089549783795333	-0.3971130509628146	15.945662835859833
DD3	AL6	2	H	-0.29299605501163456	0.5777437962898879	16.558768468488957
DD4	AL6	2	H	0.2551921505614076	-0.6141752403887535	16.54216421380323
DD5	AL6	2	H	0.8029637366244013	0.3981143263096424	15.928328631048684
DD6	AL6	2	H	0.31696522042892417	-0.5907481983977201	15.343262524112744
DD7	AL6	2	H	-0.2891305719249504	0.5651835191699712	15.300768350253996
O1	MOH	2	O	1.6538803908654622	0.8582261300273565	15.942749990722135
H1	MOH	2	H	1.6537447671766023	1.8462260605076417	15.943094921395307
Al	AL6	3	Al	0.0	0.0	31.88
DD2	AL6	3	H	-0.8089549783795333	-0.3971130509628146	31.885662835859833
DD3	AL6	3	H	-0.29299605501163456	0.5777437962898879	32.498768468488954
DD4	AL6	3	H	0.2551921505614076	-0.6141752403887535	32.48216421380323
DD5	AL6	3	H	0.8029637366244013	0.3981143263096424	31.868328631048684
DD6	AL6	3	H	0.31696522042892417	-0.5907481983977201	31.283262524112743
DD7	AL6	3	H	-0.2891305719249504	0.5651835191699712	31.240768350253994
O1	MOH	3	O	1.6538803908654622	0.8582261300273565	31.882749990722132
H1	MOH	3	H	1.6537447671766023	1.8462260605076417	31.883094921395305
Al	AL6	4	Al	0.0	33.6	0.0
DD2	AL6	4	H	-0.8089549783795333	33.202886949037186	0.005662835859833743
DD3	AL6	4	H	-0.29299605501163456	34.17774379628989	0.6187684684889567
DD4	AL6	4	H	0.2551921505614076	32.98582475961125	0.6021642138032286
DD5	AL6	4	H	0.8029637366244013	33.99811432630965	-0.011671368951315285
DD6	AL6	4	H	0.31696522042892417	33.00925180160228	-0.5967374758872553
DD7	AL6	4	H	-0.2891305719249504	34.16518351916997	-0.6392316497460042
O1	MOH	4	O	1.6538803908654622	34.458226130027356	0.002749990722134601
H1	MOH	4	H	1.6537447671766023	35.44622606050764	0.0030949213953068524
Al	AL6	5	Al	0.0	33.6	15.94
DD2	AL6	5	H	-0.8089549783795333	33.202886949037186	15.945662835859833
DD3	AL6	5	H	-0.29299605501163456	34.17774379628989	16.558768468488957
DD4	AL6	5	H	0.2551921505614076	32.98582475961125	16.54216421380323
DD5	AL6	5	H	0.8029637366244013	33.99811432630965	15.928328631048684
DD6	AL6	5	H	0.31696522042892417	33.00925180160228	15.343262524112744
DD7	AL6	5	H	-0.2891305719249504	34.16518351916997	15.300768350253996
O1	MOH	5	O	1.6538803908654622	34.458226130027356	15.942749990722135
H1	MOH	5	H	1.6537447671766023	35.44622606050764	15.943094921395307
Al	AL6	6	Al	0.0	33.6	31.88
DD2	AL6	6	H	-0.8089549783795333	33.202886949037186	31.885662835859833
DD3	AL6	6	H	-0.29299605501163456	34.17774379628989	32.498768468488954
DD4	AL6	6	H	0.2551921505614076	32.98582475961125	32.48216421380323
DD5	AL6	6	H	0.8029637366244013	33.99811432630965	31.868328631048684
DD6	AL6	6	H	0.31696522042892417	33.00925180160228	31.283262524112743
DD7	AL6	6	H	-0.2891305719249504	34.16518351916997	31.240768350253994
O1	MOH	6	O	1.6538803908654622	34.458226130027356	31.882749990722132
H1	MOH	6	H	1.6537447671766023	35.44622606050764	31.883094921395305
Al	AL6	7	Al	3.31	16.8	0.0
DD2	AL6	7	H	2.5010450216204667	16.402886949037185	0.005662835859833743
DD3	AL6	7	H	3.0170039449883657	17.377743796289888	0.6187684684889567
DD4	AL6	7	H	3.5651921505614075	16.185824759611247	0.6021642138032286
DD5	AL6	7	H	4.112963736624401	17.198114326309643	-0.011671368951315285
DD6	AL6	7	H	3.626965220428924	16.20925180160228	-0.5967374758872553
DD7	AL6	7	H	3.0208694280750494	17.36518351916997	-0.6392316497460042
O1	MOH	7	O	4.963880390865462	17.65822613002736	0.002749990722134601
H1	MOH	7	H	4.963744767176602	18.646226060507644	0.0030949213953068524
Al	AL6	8	Al	3.31	16.8	15.94
DD2	AL6	8	H	2.5010450216204667	16.402886949037185	15.945662835859833
DD3	AL6	8	H	3.0170039449883657	17.377743796289888	16.558768468488957
DD4	AL6	8	H	3.5651921505614075	16.185824759611247	16.54216421380323
DD5	AL6	8	H	4.112963736624401	17.198114326309643	15.928328631048684
DD6	AL6	8	H	3.626965220428924	16.20925180160228	15.343262524112744
DD7	AL6	8	H	3.0208694280750494	17.36518351916997	15.300768350253996
O1	MOH	8	O	4.963880390865462	17.65822613002736	15.942749990722135
H1	MOH	8	H	4.963744767176602	18.646226060507644	15.943094921395307
Al	AL6	9	Al	3.31	16.8	31.88
DD2	AL6	9	H	2.5010450216204667	16.402886949037185	31.885662835859833
DD3	AL6	9	H	3.0170039449883657	17.377743796289888	32.498768468488954
DD4	AL6	9	H	3.5651921505614075	16.185824759611247	32.48216421380323
DD5	AL6	9	H	4.112963736624401	17.198114326309643	31.868328631048684
